DATE,USALORSGPNOSTSAM
1977-12-01,100.2920073
1978-01-01,100.3786643
1978-02-01,100.5868019
1978-03-01,100.9099671
1978-04-01,101.305688
1978-05-01,101.7109776
1978-06-01,102.0745692
1978-07-01,102.3708088
1978-08-01,102.5972222
1978-09-01,102.7586579
1978-10-01,102.8563054
1978-11-01,102.888663
1978-12-01,102.8572594
1979-01-01,102.7771737
1979-02-01,102.668533
1979-03-01,102.5517552
1979-04-01,102.4451516
1979-05-01,102.3619363
1979-06-01,102.3067996
1979-07-01,102.2710516
1979-08-01,102.2390039
1979-09-01,102.1931216
1979-10-01,102.1191055
1979-11-01,102.0021801
1979-12-01,101.8256403
1980-01-01,101.5727092
1980-02-01,101.2341608
1980-03-01,100.8213634
1980-04-01,100.3850563
1980-05-01,99.99128778
1980-06-01,99.69993583
1980-07-01,99.54111004
1980-08-01,99.52401784
1980-09-01,99.63590586
1980-10-01,99.84715502
1980-11-01,100.1126231
1980-12-01,100.3824663
1981-01-01,100.6092367
1981-02-01,100.757464
1981-03-01,100.8163742
1981-04-01,100.8039318
1981-05-01,100.7509851
1981-06-01,100.6763256
1981-07-01,100.5647043
1981-08-01,100.3856114
1981-09-01,100.1145104
1981-10-01,99.75841707
1981-11-01,99.34187406
1981-12-01,98.89885257
1982-01-01,98.46898574
1982-02-01,98.08691208
1982-03-01,97.77093303
1982-04-01,97.50831804
1982-05-01,97.27512257
1982-06-01,97.05150214
1982-07-01,96.83446841
1982-08-01,96.63350291
1982-09-01,96.46553873
1982-10-01,96.34864232
1982-11-01,96.30127063
1982-12-01,96.33762461
1983-01-01,96.45769329
1983-02-01,96.65520711
1983-03-01,96.9190612
1983-04-01,97.22867637
1983-05-01,97.56282934
1983-06-01,97.90481587
1983-07-01,98.2454752
1983-08-01,98.58082575
1983-09-01,98.90930158
1983-10-01,99.22887418
1983-11-01,99.53668033
1983-12-01,99.82884821
1984-01-01,100.1007461
1984-02-01,100.3461821
1984-03-01,100.5576772
1984-04-01,100.7282858
1984-05-01,100.8517194
1984-06-01,100.925093
1984-07-01,100.9547498
1984-08-01,100.9505529
1984-09-01,100.9230992
1984-10-01,100.8832042
1984-11-01,100.8402207
1984-12-01,100.8011503
1985-01-01,100.7698832
1985-02-01,100.7491848
1985-03-01,100.7420183
1985-04-01,100.7520206
1985-05-01,100.781336
1985-06-01,100.8271546
1985-07-01,100.8767971
1985-08-01,100.9147259
1985-09-01,100.9291899
1985-10-01,100.9196195
1985-11-01,100.8902578
1985-12-01,100.8455079
1986-01-01,100.7867271
1986-02-01,100.7141026
1986-03-01,100.6295446
1986-04-01,100.5405736
1986-05-01,100.4555493
1986-06-01,100.3793273
1986-07-01,100.3087463
1986-08-01,100.237766
1986-09-01,100.162217
1986-10-01,100.0846055
1986-11-01,100.0110749
1986-12-01,99.94863062
1987-01-01,99.90219546
1987-02-01,99.87518893
1987-03-01,99.86904528
1987-04-01,99.88142485
1987-05-01,99.9097688
1987-06-01,99.95358239
1987-07-01,100.0156448
1987-08-01,100.098204
1987-09-01,100.1979438
1987-10-01,100.2995409
1987-11-01,100.3851876
